NAICS Code,NAICS Title,MICS Code,MICS Title
212393,Other Chemical and Fertilizer Mineral Mining,212,Other Mining 
212399,All Other Nonmetallic Mineral Mining,212,Other Mining 
213,Support Activities for Mining,213,Mining Support
2131,Support Activities for Mining,213,Mining Support
21311,Support Activities for Mining,213,Mining Support
213111,Drilling Oil and Gas Wells,213,Mining Support
213112,Support Activities for Oil and Gas Operations,213,Mining Support
213113,Support Activities for Coal Mining,213,Mining Support
213114,Support Activities for Metal Mining,213,Mining Support
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,213,Mining Support
22,Utilities,22,Utilities
221,Utilities,22,Utilities
2211,"Electric Power Generation, Transmission and Distribution",22A,Electricity Networks
22111,Electric Power Generation,22A,Electricity Networks
22112,"Electric Power Transmission, Control, and Distribution",22A,Electricity Networks
221111,Hydroelectric Power Generation,22A,Electricity Networks
221112,Fossil Fuel Electric Power Generation,22A,Electricity Networks
221113,Nuclear Electric Power Generation,22A,Electricity Networks
221114,Solar Electric Power Generation,22A,Electricity Networks
221115,Wind Electric Power Generation,22A,Electricity Networks
221116,Geothermal Electric Power Generation,22A,Electricity Networks
221117,Biomass Electric Power Generation,22A,Electricity Networks
221118,Other Electric Power Generation,22A,Electricity Networks
221119,Other Electric Power Generation,22A,Electricity Networks
221121,Electric Bulk Power Transmission and Control,22A,Electricity Networks
221122,Electric Power Distribution,22A,Electricity Networks
2212,Natural Gas Distribution,22B,Gas Networks
22121,Natural Gas Distribution,22B,Gas Networks
221210,Natural Gas Distribution,22B,Gas Networks
2213,"Water, Sewage and Other Systems",22C,"Water, Sewage and Other"
22131,Water Supply and Irrigation Systems,22C,"Water, Sewage and Other"
22132,Sewage Treatment Facilities,22C,"Water, Sewage and Other"
22133,Steam and Air-Conditioning Supply,22C,"Water, Sewage and Other"
221310,Water Supply and Irrigation Systems,22C,"Water, Sewage and Other"
221320,Sewage Treatment Facilities,22C,"Water, Sewage and Other"
221330,Steam and Air-Conditioning Supply,22C,"Water, Sewage and Other"
23,Construction,23,Construction
236,Construction of Buildings,236,Building Construction 
2361,Residential Building Construction,236A,Residential Building Construction
23611,Residential Building Construction,236A,Residential Building Construction
236115,New Single-Family Housing Construction (except For-Sale Builders),236A,Residential Building Construction
236116,New Multifamily Housing Construction (except For-Sale Builders),236A,Residential Building Construction
236117,New Housing For-Sale Builders,236A,Residential Building Construction
2362,Nonresidential Building Construction,236B,Nonresidential Building Construction
23621,Industrial Building Construction,236B,Nonresidential Building Construction
236210,Industrial Building Construction,236B,Nonresidential Building Construction
23622,Commercial and Institutional Building Construction,236C,Commercial and Institutional Building Construction
236220,Commercial and Institutional Building Construction,236C,Commercial and Institutional Building Construction
236118,Residential Remodelers,236D,Residential Remodelers
237,Heavy and Civil Engineering Construction,237,Heavy and Civil Engineering Construction
2371,Utility System Construction,237,Heavy and Civil Engineering Construction
23711,Water and Sewer Line and Related Structures Construction,237,Heavy and Civil Engineering Construction
23712,Oil and Gas Pipeline and Related Structures Construction,237,Heavy and Civil Engineering Construction
23713,Power and Communication Line and Related Structures Construction,237,Heavy and Civil Engineering Construction
237110,Water and Sewer Line and Related Structures Construction,237,Heavy and Civil Engineering Construction
237120,Oil and Gas Pipeline and Related Structures Construction,237,Heavy and Civil Engineering Construction
237130,Power and Communication Line and Related Structures Construction,237,Heavy and Civil Engineering Construction
2372,Land Subdivision,237,Heavy and Civil Engineering Construction
23721,Land Subdivision,237,Heavy and Civil Engineering Construction
237210,Land Subdivision,237,Heavy and Civil Engineering Construction
2373,"Highway, Street, and Bridge Construction",237,Heavy and Civil Engineering Construction
23731,"Highway, Street, and Bridge Construction",237,Heavy and Civil Engineering Construction
237310,"Highway, Street, and Bridge Construction",237,Heavy and Civil Engineering Construction
2379,Other Heavy and Civil Engineering Construction,237,Heavy and Civil Engineering Construction
23799,Other Heavy and Civil Engineering Construction,237,Heavy and Civil Engineering Construction
237990,Other Heavy and Civil Engineering Construction,237,Heavy and Civil Engineering Construction
238,Specialty Trade Contractors,238,Specialty Contractors
2389,Other Specialty Trade Contractors,238,Specialty Contractors
23891,Site Preparation Contractors,238,Specialty Contractors
23899,All Other Specialty Trade Contractors,238,Specialty Contractors
238910,Site Preparation Contractors,238,Specialty Contractors
238990,All Other Specialty Trade Contractors,238,Specialty Contractors
2381,"Foundation, Structure, and Building Exterior Contractors",2381,"Foundation, Structure, and Building Exterior Contractors"
23811,Poured Concrete Foundation and Structure Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
23812,Structural Steel and Precast Concrete Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
23813,Framing Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
23814,Masonry Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
23815,Glass and Glazing Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
23816,Roofing Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
23817,Siding Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
23819,"Other Foundation, Structure, and Building Exterior Contractors",2381,"Foundation, Structure, and Building Exterior Contractors"
238110,Poured Concrete Foundation and Structure Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
238120,Structural Steel and Precast Concrete Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
238130,Framing Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
238140,Masonry Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
238150,Glass and Glazing Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
238160,Roofing Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
238170,Siding Contractors,2381,"Foundation, Structure, and Building Exterior Contractors"
238190,"Other Foundation, Structure, and Building Exterior Contractors",2381,"Foundation, Structure, and Building Exterior Contractors"
2382,Building Equipment Contractors,2382,Building Equipment Contractors
23829,Other Building Equipment Contractors,2382,Building Equipment Contractors
2383,Building Finishing Contractors,2383,Building Finishing Contractors
23831,Drywall and Insulation Contractors,2383,Building Finishing Contractors
23835,Finish Carpentry Contractors,2383,Building Finishing Contractors
23839,Other Building Finishing Contractors,2383,Building Finishing Contractors
238310,Drywall and Insulation Contractors,2383,Building Finishing Contractors
238340,Tile and Terrazzo Contractors,2383,Building Finishing Contractors
238350,Finish Carpentry Contractors,2383,Building Finishing Contractors
238390,Other Building Finishing Contractors,2383,Building Finishing Contractors
23821,Electrical Contractors and Other Wiring Installation Contractors,238A,"Plumbing, Electrical or Painting Contractors "
23822,"Plumbing, Heating, and Air-Conditioning Contractors",238A,"Plumbing, Electrical or Painting Contractors "
238210,Electrical Contractors and Other Wiring Installation Contractors,238A,"Plumbing, Electrical or Painting Contractors "
238220,"Plumbing, Heating, and Air-Conditioning Contractors",238A,"Plumbing, Electrical or Painting Contractors "
23832,Painting and Wall Covering Contractors,238A,"Plumbing, Electrical or Painting Contractors "
238320,Painting and Wall Covering Contractors,238A,"Plumbing, Electrical or Painting Contractors "
23833,Flooring Contractors,238C,Flooring Contractors
23834,Tile and Terrazzo Contractors,238C,Flooring Contractors
238330,Flooring Contractors,238C,Flooring Contractors
238290,Other Building Equipment Contractors,238D,Building Equipment Contractors
31,Manufacturing,31,Consumer Goods Manufacture
311,Food Manufacturing,31A,Food & Beverage Manufacture
3111,Animal Food Manufacturing,31A,Food & Beverage Manufacture
31111,Animal Food Manufacturing,31A,Food & Beverage Manufacture
311111,Dog and Cat Food Manufacturing,31A,Food & Beverage Manufacture
311119,Other Animal Food Manufacturing,31A,Food & Beverage Manufacture
3112,Grain and Oilseed Milling,31A,Food & Beverage Manufacture
31121,Flour Milling and Malt Manufacturing,31A,Food & Beverage Manufacture
31122,Starch and Vegetable Fats and Oils Manufacturing,31A,Food & Beverage Manufacture
31123,Breakfast Cereal Manufacturing,31A,Food & Beverage Manufacture
311211,Flour Milling,31A,Food & Beverage Manufacture
311212,Rice Milling,31A,Food & Beverage Manufacture
311213,Malt Manufacturing,31A,Food & Beverage Manufacture
311221,Wet Corn Milling and Starch Manufacturing,31A,Food & Beverage Manufacture
311222,Soybean Processing,31A,Food & Beverage Manufacture
311223,Other Oilseed Processing,31A,Food & Beverage Manufacture
311224,Soybean and Other Oilseed Processing,31A,Food & Beverage Manufacture
311225,Fats and Oils Refining and Blending,31A,Food & Beverage Manufacture
311230,Breakfast Cereal Manufacturing,31A,Food & Beverage Manufacture
3113,Sugar and Confectionery Product Manufacturing,31A,Food & Beverage Manufacture
31131,Sugar Manufacturing,31A,Food & Beverage Manufacture
31132,Chocolate and Confectionery Manufacturing from Cacao Beans,31A,Food & Beverage Manufacture
31133,Confectionery Manufacturing from Purchased Chocolate,31A,Food & Beverage Manufacture
31134,Nonchocolate Confectionery Manufacturing,31A,Food & Beverage Manufacture
31135,Chocolate and Confectionery Manufacturing,31A,Food & Beverage Manufacture
311311,Sugarcane Mills,31A,Food & Beverage Manufacture
311312,Cane Sugar Refining,31A,Food & Beverage Manufacture
311313,Beet Sugar Manufacturing,31A,Food & Beverage Manufacture
311314,Cane Sugar Manufacturing,31A,Food & Beverage Manufacture
311320,Chocolate and Confectionery Manufacturing from Cacao Beans,31A,Food & Beverage Manufacture
311330,Confectionery Manufacturing from Purchased Chocolate,31A,Food & Beverage Manufacture
311340,Nonchocolate Confectionery Manufacturing,31A,Food & Beverage Manufacture
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,31A,Food & Beverage Manufacture
311352,Confectionery Manufacturing from Purchased Chocolate,31A,Food & Beverage Manufacture
3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,31A,Food & Beverage Manufacture
31141,Frozen Food Manufacturing,31A,Food & Beverage Manufacture
31142,"Fruit and Vegetable Canning, Pickling, and Drying",31A,Food & Beverage Manufacture
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",31A,Food & Beverage Manufacture
311412,Frozen Specialty Food Manufacturing,31A,Food & Beverage Manufacture
311421,Fruit and Vegetable Canning,31A,Food & Beverage Manufacture
311422,Specialty Canning,31A,Food & Beverage Manufacture
311423,Dried and Dehydrated Food Manufacturing,31A,Food & Beverage Manufacture
3115,Dairy Product Manufacturing,31A,Food & Beverage Manufacture
31151,Dairy Product (except Frozen) Manufacturing,31A,Food & Beverage Manufacture
31152,Ice Cream and Frozen Dessert Manufacturing,31A,Food & Beverage Manufacture
311511,Fluid Milk Manufacturing,31A,Food & Beverage Manufacture
311512,Creamery Butter Manufacturing,31A,Food & Beverage Manufacture
311513,Cheese Manufacturing,31A,Food & Beverage Manufacture
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",31A,Food & Beverage Manufacture
311520,Ice Cream and Frozen Dessert Manufacturing,31A,Food & Beverage Manufacture
3116,Animal Slaughtering and Processing,31A,Food & Beverage Manufacture
31161,Animal Slaughtering and Processing,31A,Food & Beverage Manufacture
311611,Animal (except Poultry) Slaughtering,31A,Food & Beverage Manufacture
311612,Meat Processed from Carcasses,31A,Food & Beverage Manufacture
311613,Rendering and Meat Byproduct Processing,31A,Food & Beverage Manufacture
311615,Poultry Processing,31A,Food & Beverage Manufacture
3117,Seafood Product Preparation and Packaging,31A,Food & Beverage Manufacture
31171,Seafood Product Preparation and Packaging,31A,Food & Beverage Manufacture
311710,Seafood Product Preparation and Packaging,31A,Food & Beverage Manufacture
311711,Seafood Canning,31A,Food & Beverage Manufacture
311712,Fresh and Frozen Seafood Processing,31A,Food & Beverage Manufacture
3118,Bakeries and Tortilla Manufacturing,31A,Food & Beverage Manufacture
31181,Bread and Bakery Product Manufacturing,31A,Food & Beverage Manufacture
31182,"Cookie, Cracker, and Pasta Manufacturing",31A,Food & Beverage Manufacture
31183,Tortilla Manufacturing,31A,Food & Beverage Manufacture
311811,Retail Bakeries,31A,Food & Beverage Manufacture
311812,Commercial Bakeries,31A,Food & Beverage Manufacture
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",31A,Food & Beverage Manufacture
311821,Cookie and Cracker Manufacturing,31A,Food & Beverage Manufacture
311822,Flour Mixes and Dough Manufacturing from Purchased Flour,31A,Food & Beverage Manufacture
311823,Dry Pasta Manufacturing,31A,Food & Beverage Manufacture
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",31A,Food & Beverage Manufacture
311830,Tortilla Manufacturing,31A,Food & Beverage Manufacture
3119,Other Food Manufacturing,31A,Food & Beverage Manufacture
31191,Snack Food Manufacturing,31A,Food & Beverage Manufacture
31192,Coffee and Tea Manufacturing,31A,Food & Beverage Manufacture
31193,Flavoring Syrup and Concentrate Manufacturing,31A,Food & Beverage Manufacture
31194,Seasoning and Dressing Manufacturing,31A,Food & Beverage Manufacture
31199,All Other Food Manufacturing,31A,Food & Beverage Manufacture
311911,Roasted Nuts and Peanut Butter Manufacturing,31A,Food & Beverage Manufacture
311919,Other Snack Food Manufacturing,31A,Food & Beverage Manufacture
311920,Coffee and Tea Manufacturing,31A,Food & Beverage Manufacture
311930,Flavoring Syrup and Concentrate Manufacturing,31A,Food & Beverage Manufacture
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",31A,Food & Beverage Manufacture
311942,Spice and Extract Manufacturing,31A,Food & Beverage Manufacture
311991,Perishable Prepared Food Manufacturing,31A,Food & Beverage Manufacture
311999,All Other Miscellaneous Food Manufacturing,31A,Food & Beverage Manufacture
312,Beverage and Tobacco Product Manufacturing,31A,Food & Beverage Manufacture
3121,Beverage Manufacturing,31A,Food & Beverage Manufacture
31211,Soft Drink and Ice Manufacturing,31A,Food & Beverage Manufacture
31212,Breweries,31A,Food & Beverage Manufacture
31213,Wineries,31A,Food & Beverage Manufacture
31214,Distilleries,31A,Food & Beverage Manufacture
312111,Soft Drink Manufacturing,31A,Food & Beverage Manufacture
312112,Bottled Water Manufacturing,31A,Food & Beverage Manufacture
312113,Ice Manufacturing,31A,Food & Beverage Manufacture
312120,Breweries,31A,Food & Beverage Manufacture
312130,Wineries,31A,Food & Beverage Manufacture
312140,Distilleries,31A,Food & Beverage Manufacture
313,Textile Mills,31B,Clothing & Textiles Manufacture
3131,"Fiber, Yarn, and Thread Mills",31B,Clothing & Textiles Manufacture
31311,"Fiber, Yarn, and Thread Mills",31B,Clothing & Textiles Manufacture
313110,"Fiber, Yarn, and Thread Mills",31B,Clothing & Textiles Manufacture
313111,Yarn Spinning Mills,31B,Clothing & Textiles Manufacture
313112,"Yarn Texturizing, Throwing, and Twisting Mills",31B,Clothing & Textiles Manufacture
313113,Thread Mills,31B,Clothing & Textiles Manufacture
3132,Fabric Mills,31B,Clothing & Textiles Manufacture
31321,Broadwoven Fabric Mills,31B,Clothing & Textiles Manufacture
31322,Narrow Fabric Mills and Schiffli Machine Embroidery,31B,Clothing & Textiles Manufacture
31323,Nonwoven Fabric Mills,31B,Clothing & Textiles Manufacture
31324,Knit Fabric Mills,31B,Clothing & Textiles Manufacture
313210,Broadwoven Fabric Mills,31B,Clothing & Textiles Manufacture
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,31B,Clothing & Textiles Manufacture
313221,Narrow Fabric Mills,31B,Clothing & Textiles Manufacture
313222,Schiffli Machine Embroidery,31B,Clothing & Textiles Manufacture
313230,Nonwoven Fabric Mills,31B,Clothing & Textiles Manufacture
313240,Knit Fabric Mills,31B,Clothing & Textiles Manufacture
313241,Weft Knit Fabric Mills,31B,Clothing & Textiles Manufacture
313249,Other Knit Fabric and Lace Mills,31B,Clothing & Textiles Manufacture
3133,Textile and Fabric Finishing and Fabric Coating Mills,31B,Clothing & Textiles Manufacture
31331,Textile and Fabric Finishing Mills,31B,Clothing & Textiles Manufacture
31332,Fabric Coating Mills,31B,Clothing & Textiles Manufacture
313310,Textile and Fabric Finishing Mills,31B,Clothing & Textiles Manufacture
313311,Broadwoven Fabric Finishing Mills,31B,Clothing & Textiles Manufacture
313312,Textile and Fabric Finishing (except Broadwoven Fabric) Mills,31B,Clothing & Textiles Manufacture
313320,Fabric Coating Mills,31B,Clothing & Textiles Manufacture
314,Textile Product Mills,31B,Clothing & Textiles Manufacture
3141,Textile Furnishings Mills,31B,Clothing & Textiles Manufacture
31411,Carpet and Rug Mills,31B,Clothing & Textiles Manufacture
31412,Curtain and Linen Mills,31B,Clothing & Textiles Manufacture
314110,Carpet and Rug Mills,31B,Clothing & Textiles Manufacture
314120,Curtain and Linen Mills,31B,Clothing & Textiles Manufacture
314121,Curtain and Drapery Mills,31B,Clothing & Textiles Manufacture
314129,Other Household Textile Product Mills,31B,Clothing & Textiles Manufacture
3149,Other Textile Product Mills,31B,Clothing & Textiles Manufacture
31491,Textile Bag and Canvas Mills,31B,Clothing & Textiles Manufacture
31499,All Other Textile Product Mills,31B,Clothing & Textiles Manufacture
314910,Textile Bag and Canvas Mills,31B,Clothing & Textiles Manufacture
314911,Textile Bag Mills,31B,Clothing & Textiles Manufacture
314912,Canvas and Related Product Mills,31B,Clothing & Textiles Manufacture
314991,"Rope, Cordage, and Twine Mills",31B,Clothing & Textiles Manufacture
314992,Tire Cord and Tire Fabric Mills,31B,Clothing & Textiles Manufacture
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",31B,Clothing & Textiles Manufacture
314999,All Other Miscellaneous Textile Product Mills,31B,Clothing & Textiles Manufacture
315,Apparel Manufacturing,31B,Clothing & Textiles Manufacture
3151,Apparel Knitting Mills,31B,Clothing & Textiles Manufacture
31511,Hosiery and Sock Mills,31B,Clothing & Textiles Manufacture
31512,Apparel Knitting Mills,31B,Clothing & Textiles Manufacture
31519,Other Apparel Knitting Mills,31B,Clothing & Textiles Manufacture
315110,Hosiery and Sock Mills,31B,Clothing & Textiles Manufacture
315111,Sheer Hosiery Mills,31B,Clothing & Textiles Manufacture
315119,Other Hosiery and Sock Mills,31B,Clothing & Textiles Manufacture
315120,Apparel Knitting Mills,31B,Clothing & Textiles Manufacture
315190,Other Apparel Knitting Mills,31B,Clothing & Textiles Manufacture
315191,Outerwear Knitting Mills,31B,Clothing & Textiles Manufacture
315192,Underwear and Nightwear Knitting Mills,31B,Clothing & Textiles Manufacture
3152,Cut and Sew Apparel Manufacturing,31B,Clothing & Textiles Manufacture
31521,Cut and Sew Apparel Contractors,31B,Clothing & Textiles Manufacture
31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing,31B,Clothing & Textiles Manufacture
31523,Women's and Girls' Cut and Sew Apparel Manufacturing,31B,Clothing & Textiles Manufacture
31524,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",31B,Clothing & Textiles Manufacture
